word,count,file
Usıvi,8,
mana,8,
bo.,8,
"vanay,",8,
biye,8,
Wayirê|Wayir\w*,8,
ame,8,
Ğeji,8,
heşt,8,
keso,8,
kamci,8,
Kıtabê,8,
ama.,8,
owo.,8,
guri,8,
bêro.,8,
berd,8,
eyro,8,
bi:,8,
Mıletê,8,
mêrıkê,8,
peşew,8,
ardi,8,
gêray,8,
gêno,8,
Jüyê,8,
Kami,8,
parı,8,
kemerı,8,
anê,8,
vêneno.,8,
wertı,8,
masiyan,8,
"gırotê,",8,
"nê,",8,
nano,8,
war.,8,
gırê,8,
"danê,",8,
xızmetkar,8,
heq,8,
sono.,8,
bıvênerê?,8,
kıncanê,8,
dewı,8,
çıla,8,
vano,8,
biyenê.,8,
Tayênan,8,
"kistenı,",8,
Mı,8,
serm,8,
Asmên,8,
kêber,8,
‘Ez,8,
inkar,8,
nêşkiya,8,
xızmetkari,8,
bıkeri.,8,
Nanê,8,
sucê,8,
"bıvênerê.""",8,
"""Ma",8,
Filipus,8,
"""Kamo",8,
"""Malım,",8,
(Mıleti,8,
"""Mın",8,
biyarê.,8,
verdı,7,
nat,7,
tenan,7,
zerrı.,7,
"pitenê,",7,
Heqi.,7,
İsrail,7,
zerri,7,
57,7,
kerdenı.,7,
xowo,7,
mandenê.,7,
pêxemberi,7,
Herdê,7,
kerê,7,
vênenê.,7,
hawt,7,
mıleti'a,7,
havalanê,7,
cayan,7,
newiye,7,
"dano,",7,
peri,7,
nêşkinan,7,
"nêbeno,",7,
Mijdania,7,
denê.,7,
est,7,
Levi,7,
welatê,7,
mıleti.,7,
nêwesan,7,
Greki,7,
binı,7,
Havalê,7,
"bıwazerê,",7,
cayanê,7,
so,7,
Mesela,7,
vêrdenê,7,
bıkerê?,7,
hawariyan,7,
Yaqubi,7,
Cayê,7,
sari,7,
"jüyê,",7,
dênê,7,
gunakaran,7,
dara,7,
çaliyan,7,
dareno,7,
vano.,7,
"bêro,",7,
rono,7,
"“Rocê,",7,
simi,7,
tayê,7,
Toxımê,7,
kêf'a,7,
hazar,7,
"biyo,",7,
tersay.,7,
bımanê.,7,
"vacı,",7,
estê.,7,
wazenay,7,
"gıroti,",7,
"aman,",7,
esto.,7,
Xo,7,
hêgan,7,
"ver,",7,
cı?,7,
"nêvêneno,",7,
nêdanê,7,
qısawetı,7,
"bıberê,",7,
bi?,7,
kerdê.,7,
mezelı.,7,
"nêkenan,",7,
hurmetı,7,
Çıkê,7,
kılm,7,
estê,7,
Rayibê,7,
qesê,7,
pilan,7,
Qesanê,7,
"""",7,
"""No",7,
ho,7,
Xeylê,6,
çiyan,6,
çini,6,
waxti,6,
veciya.,6,
Meleki,6,
to.,6,
niyê,6,
destanê,6,
dıcani,6,
"bımanê,",6,
şiyê,6,
şeş,6,
xoa,6,
mırd,6,
58,6,
muskıti,6,
59,6,
"roci,",6,
sarê,6,
Destê,6,
khalıkanê,6,
berco.,6,
rusneno,6,
herdê,6,
Roma,6,
Dawud,6,
pêroyini,6,
bıbo,6,
uca.,6,
veciyay,6,
vatenı.,6,
pil,6,
persi,6,
Pilatus,6,
tobı,6,
xora,6,
rındi,6,
awk'a,6,
genımi,6,
Hirodes,6,
"zerrı,",6,
peyniye,6,
Şabati|Roca,6,
"şiyenê,",6,
bımano.,6,
Gola,6,
qayıği,6,
qayığı,6,
tenê,6,
"bıkeri,",6,
"amay,",6,
wazenan,6,
vıla.,6,
bıxeleşiyo,6,
İlimdaranê,6,
taşildari,6,
ust,6,
da.,6,
kınca,6,
nêkeno,6,
şerabı,6,
Ferisiyan'a,6,
ko,6,
xırabın,6,
"Feqet,",6,
derê.,6,
qimetê,6,
dên,6,
rındı,6,
qesawa,6,
"kêyi,",6,
kêberê,6,
gırotê,6,
"gırot,",6,
"werd,",6,
porê,6,
mêrıkan,6,
phancas,6,
perıo,6,
"denê,",6,
sukan,6,
rayê,6,
iyê.,6,
kunê,6,
vecino,6,
dano.,6,
hewn,6,
biyê.,6,
decan,6,
itıqati|ilimdaranê,6,
roc,6,
"nêbi,",6,
sıma'wa,6,
dê,6,
"Nê,",6,
domananê,6,
"kenay,",6,
peranê,6,
nenê,6,
nêdano,6,
welat,6,
"kero,",6,
kistenı.,6,
verda,6,
"bigêrê,",6,
Gereko,6,
çend,6,
rocê,6,
“Feqet,6,
dızd,6,
Wayir,6,
"nêzano,",6,
newi,6,
“Xızmetkar,6,
"hinio,",6,
bigêro.,6,
gunakari,6,
"vindi,",6,
zina,6,
merdan,6,
"inan,",6,
kemera,6,
rocanê,6,
hukumdariye,6,
reya,6,
pilê,6,
dard,6,
Koyê,6,
"Mabedı,",6,
nê,6,
rayibanê,6,
eşkera,6,
hukmati,6,
rındekı,6,
uskıra,6,
gırotı,6,
"danan,",6,
nêbiyê.,6,
(Metiya,6,
"""Nê,",6,
"""A",6,
Andreas,6,
çino.,6,
"ra.""",6,
"bızanerê,",5,
Cebrail,5,
"Yahudiyan,",5,
Cinıka,5,
qatê,5,
İtıqatê,5,
"rey,",5,
sılxetiya,5,
"pêser,",5,
mandê,5,
may,5,
Bımbarek'a|Rowo,5,
zianê,5,
hurindi.”,5,
Yaqub,5,
"biyarê,",5,
awa,5,
kêmi,5,
ciranê,5,
rama,5,
domani,5,
"tersay,",5,
we,5,
dısmenanê,5,
muskıtı,5,
ma.,5,
viri.,5,
bıxeleşiyê,5,
"gırs,",5,
vet,5,
hukmê,5,
bi.\f*,5,
sıfteyın,5,
şüanan,5,
kena.,5,
Xafılde,5,
melekı,5,
"bo,",5,
vatenı:,5,
Ancia,5,
kerê.”,5,
pitenê,5,
zerrêweşiyê,5,
layıki,5,
kêna,5,
çar,5,
"Celile,",5,
peyniya,5,
zanê,5,
husk,5,
çhemê,5,
Pêxember\w*,5,
Yeşayay,5,
darı,5,
meywê,5,
ercenê,5,
“A,5,
"çina,",5,
Zerria,5,
xafılde,5,
“Ni,5,
mınê.,5,
Ezi,5,
feqiran.,5,
kıtab,5,
gıranı,5,
Teyna,5,
“Ya,5,
xavra\w*,5,
nêwesê,5,
hergo,5,
binan.,5,
bıeşiyê,5,
bêrê.,5,
fek,5,
"So,",5,
Musay|Musa\w*,5,
ard.,5,
nanênan,5,
zanıtenı.,5,
vest,5,
"gırotenı,",5,
“Key,5,
gerrı,5,
xırabinı,5,
kerdenı,5,
xelesnayenı,5,
dormı,5,
Qeweta,5,
wey,5,
erceno,5,
pilanê,5,
Xızmetkarê,5,
